epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1987.15,0.76995,0.40262,0.87773,0.89348,0.77639,0.87229,0.60172,0.97664,0.47456,0.94473,0.000601395,0.000601395,0.000601395
119,2004.36,0.76592,0.39766,0.86346,0.91983,0.76848,0.85723,0.59854,0.96933,0.48128,0.93851,0.000594321,0.000594321,0.000594321
120,2021.58,0.7441,0.38134,0.87143,0.94342,0.75202,0.87554,0.61619,0.98162,0.48507,0.95578,0.000587248,0.000587248,0.000587248
121,2038.94,0.76813,0.39492,0.88021,0.87111,0.8283,0.87504,0.59512,1.00352,0.49473,0.96701,0.000580174,0.000580174,0.000580174
122,2057.01,0.75918,0.39714,0.86784,0.88335,0.78914,0.87347,0.60505,0.99353,0.47827,0.96148,0.0005731,0.0005731,0.0005731
123,2074.13,0.74378,0.39273,0.86739,0.94931,0.78757,0.87354,0.59994,0.97676,0.47342,0.95517,0.000566027,0.000566027,0.000566027
124,2091.47,0.74443,0.38803,0.86895,0.94007,0.7949,0.9014,0.62515,0.98249,0.4681,0.95925,0.000558953,0.000558953,0.000558953
125,2109.65,0.73521,0.37895,0.87195,0.92058,0.80855,0.87621,0.60589,0.97809,0.48643,0.95623,0.00055188,0.00055188,0.00055188
126,2127.36,0.7509,0.38665,0.86039,0.93778,0.755,0.87239,0.60712,0.99115,0.50178,0.96187,0.000544806,0.000544806,0.000544806
127,2144.91,0.7418,0.38438,0.86402,0.94816,0.75819,0.8875,0.60497,0.99262,0.48054,0.9617,0.000537733,0.000537733,0.000537733
128,2162.92,0.75118,0.38252,0.86939,0.87485,0.83986,0.89333,0.60774,0.99481,0.47152,0.96185,0.000530659,0.000530659,0.000530659
129,2181.18,0.76263,0.39087,0.87215,0.85465,0.81994,0.88959,0.61673,1.00072,0.4881,0.95762,0.000523586,0.000523586,0.000523586
130,2199.11,0.7354,0.37805,0.86568,0.8763,0.78064,0.86512,0.59121,0.99932,0.50506,0.95816,0.000516512,0.000516512,0.000516512
131,2217.23,0.73923,0.38156,0.85703,0.86818,0.75687,0.85336,0.57788,1.01015,0.52554,0.96381,0.000509438,0.000509438,0.000509438
132,2234.97,0.72053,0.37222,0.85805,0.89524,0.79835,0.87785,0.61316,0.97875,0.49098,0.95373,0.000502365,0.000502365,0.000502365
133,2252.81,0.74396,0.37555,0.85843,0.90423,0.77413,0.88041,0.60258,0.99541,0.48326,0.95753,0.000495291,0.000495291,0.000495291
134,2270.7,0.74631,0.38418,0.86786,0.88461,0.83279,0.89433,0.62165,0.98046,0.49097,0.95028,0.000488218,0.000488218,0.000488218
135,2288.26,0.72393,0.37115,0.86572,0.91901,0.79827,0.88304,0.60944,0.96774,0.46719,0.95181,0.000481144,0.000481144,0.000481144
136,2305.99,0.72198,0.3722,0.86578,0.92402,0.78646,0.89254,0.61742,0.97892,0.47341,0.95005,0.000474071,0.000474071,0.000474071
137,2323.16,0.72133,0.37223,0.8577,0.93415,0.7557,0.8627,0.59528,0.97668,0.47435,0.9507,0.000466997,0.000466997,0.000466997
138,2340.72,0.70342,0.365,0.86022,0.92982,0.791,0.88309,0.61205,0.9833,0.47549,0.95551,0.000459924,0.000459924,0.000459924
139,2357.66,0.71798,0.37476,0.85408,0.90361,0.77291,0.86762,0.60451,0.97432,0.49823,0.95148,0.00045285,0.00045285,0.00045285
140,2375.25,0.71032,0.36662,0.85737,0.91948,0.76831,0.85906,0.59345,0.99917,0.49927,0.96088,0.000445777,0.000445777,0.000445777
141,2393.12,0.72859,0.37688,0.85739,0.88432,0.79167,0.87409,0.61539,0.99406,0.51275,0.95822,0.000438703,0.000438703,0.000438703
142,2410.61,0.70611,0.36702,0.85861,0.90185,0.79568,0.89366,0.61554,1.00065,0.48141,0.9712,0.000431629,0.000431629,0.000431629
143,2427.77,0.71061,0.36228,0.86134,0.90136,0.81709,0.88437,0.60749,1.00385,0.49493,0.97425,0.000424556,0.000424556,0.000424556
144,2444.92,0.69519,0.35676,0.85424,0.91787,0.80493,0.87055,0.59918,1.00991,0.49479,0.96845,0.000417482,0.000417482,0.000417482
145,2461.95,0.70104,0.36095,0.85656,0.89958,0.82873,0.89712,0.61009,0.99751,0.48186,0.96257,0.000410409,0.000410409,0.000410409
